,City,Cloudiness,Country,Date,Humidity,Lat,Long,Max Temp,Wind Speed
388,talas,0,TR,1599530105,62,38.69,35.55,57.2,6.93
389,bure,26,ET,1599530105,96,10.7,37.07,53.64,1.45
390,cagayan de tawi-tawi,100,PH,1599530105,68,6.97,118.51,84.2,2.01
391,darhan,0,MN,1599529919,55,49.49,105.92,66.97,7.43
392,atherton,94,GB,1599530106,90,53.52,-2.49,64.0,4.0
393,eureka,0,US,1599530018,31,40.8,-124.16,66.0,7.29
394,ypsonas,0,CY,1599530106,88,34.69,32.96,78.8,3.36
395,oberwart,0,AT,1599530106,90,47.29,16.21,57.99,4.21
396,guerrero negro,100,MX,1599530107,81,17.67,-100.0,69.04,5.23
397,amuntai,86,ID,1599530107,58,-2.42,115.25,87.53,1.19
398,north tonawanda,51,FR,1599530107,87,50.33,3.67,57.2,6.93
399,simoes,0,BR,1599530107,46,-7.6,-40.82,74.93,11.9
400,bowen,75,AU,1599530107,61,-20.02,148.23,77.0,25.28
401,frankfort,0,ZA,1599530107,79,-27.27,28.48,49.17,5.97
402,dandong,100,CN,1599530108,91,40.13,124.39,64.78,8.75
403,koumac,47,NC,1599530108,69,-20.57,164.28,74.84,13.04
404,acapulco,40,MX,1599529974,78,16.86,-99.89,82.4,5.82
405,zwedru,75,LR,1599530108,98,6.07,-8.13,70.03,2.26
406,lukulu,0,ZM,1599530108,37,-14.37,23.24,58.84,7.38
407,laguna,1,US,1599530109,24,38.42,-121.42,100.4,3.36
408,veraval,19,IN,1599530109,86,20.9,70.37,81.37,8.63
409,ponta do sol,80,PT,1599530109,87,38.73,-28.27,66.9,18.43
410,inirida,93,CO,1599530109,85,3.87,-67.92,76.5,1.81
411,ust-ishim,19,RU,1599530109,92,57.69,71.17,41.74,5.77
412,nizhnevartovsk,1,RU,1599530110,100,60.93,76.55,42.8,2.24
413,dunmore,1,US,1599530110,64,41.42,-75.63,69.8,3.36
414,iskateley,100,RU,1599530110,92,67.68,53.15,47.95,6.96
415,hellvik,100,NO,1599530110,85,59.92,5.78,55.0,1.99
416,codrington,47,AU,1599530110,65,-38.27,141.97,61.36,13.65
417,maine-soroa,32,NE,1599530111,55,13.21,12.02,81.75,7.05
418,pangnirtung,12,CA,1599530111,77,66.15,-65.71,37.44,1.81
419,santa cruz,100,PH,1599530043,68,17.49,120.43,86.14,0.2
420,rosarito,75,MX,1599530111,65,32.33,-117.03,79.0,8.05
421,sibolga,18,ID,1599530111,70,1.74,98.78,82.76,2.59
422,marawi,0,PH,1599530111,75,8.0,124.29,84.0,5.99
423,moura,0,PT,1599530112,56,38.14,-7.45,68.0,4.7
424,salalah,75,OM,1599529947,83,17.02,54.09,78.8,8.05
425,namanga,89,KE,1599530112,85,-2.54,36.79,59.86,2.53
426,sao joao dos patos,53,IN,1599530071,88,20.51,76.21,76.15,3.6
427,yenangyaung,100,MM,1599530112,78,20.47,94.88,83.19,7.67
428,tessalit,0,ML,1599530112,25,20.2,1.01,90.21,7.78
429,bud,99,US,1599530113,79,39.45,-86.18,80.01,7.78
430,balkhash,0,KZ,1599530113,47,46.84,74.98,58.62,5.79
431,rio grande,0,GR,1599530113,62,38.3,21.78,63.0,0.65
432,severo-yeniseyskiy,100,RU,1599530113,86,60.37,93.04,45.09,2.82
433,pustoshka,43,RU,1599530113,97,56.34,29.37,46.76,5.44
434,guaymas,40,MX,1599530113,75,27.93,-110.9,89.6,11.41
435,paamiut,43,GL,1599530114,82,61.99,-49.67,40.86,18.63
436,nizhniy kuranakh,2,RU,1599530114,100,45.39,39.24,66.99,2.24
437,richmond,20,US,1599529992,78,37.55,-77.46,71.6,3.44
438,klaipeda,49,LT,1599530114,72,55.72,21.12,60.8,6.93
439,college,75,US,1599530114,48,64.86,-147.8,64.4,10.29
440,sokoni,40,TZ,1599530114,88,-6.43,39.55,71.6,8.68
441,antalaha,44,MG,1599530115,82,-14.9,50.28,68.9,8.08
442,lagoa,59,PT,1599530115,80,39.05,-27.98,70.41,20.0
443,nizhniy ingash,2,RU,1599530115,100,45.39,39.24,66.99,2.24
444,watrous,40,CA,1599530115,67,51.67,-105.47,40.23,7.85
445,akyab,72,MM,1599530115,83,20.15,92.9,82.92,4.72
446,lazaro cardenas,77,DO,1599530115,80,19.46,-71.33,77.23,2.53
447,kurilsk,100,RU,1599530116,84,45.23,147.88,69.67,9.37
448,tiarei,20,PF,1599530116,62,-17.53,-149.33,84.2,13.87
449,sawtell,9,AU,1599530116,56,-30.38,153.1,69.8,9.17
450,agadez,86,NE,1599530116,25,19.75,10.25,90.43,8.21
451,rochester,90,US,1599529859,68,43.15,-77.62,71.01,4.7
452,beloha,2,MG,1599530117,85,-25.17,45.05,65.19,11.07
453,kardla,19,EE,1599530117,86,59.0,22.75,52.27,7.54
454,beitbridge,0,ZW,1599530117,63,-22.22,30.0,58.93,3.98
455,sretensk,0,RU,1599530117,51,52.25,117.71,69.93,2.77
456,teya,100,RU,1599530117,87,60.38,92.63,46.35,2.51
457,talkha,19,EG,1599530118,97,31.05,31.38,72.77,4.47
458,novoseleznevo,0,RU,1599530118,90,55.68,69.21,41.0,8.39
459,marienburg,80,PL,1599530118,100,54.04,19.03,48.99,8.68
460,resistencia,90,AR,1599529839,72,-27.46,-58.98,62.6,10.29
461,eyl,94,SO,1599530118,72,7.98,49.82,75.92,17.56
462,tautira,20,PF,1599530119,62,-17.73,-149.15,84.2,13.87
463,port-cartier,90,CA,1599530119,93,50.03,-66.87,54.0,6.93
464,petukhovo,7,RU,1599530119,81,55.07,67.9,42.64,6.64
465,juneau,90,US,1599530119,93,58.3,-134.42,54.0,13.87
466,fuerte olimpo,100,PH,1599530119,69,17.54,120.36,84.81,0.83
467,kostomuksha,0,RU,1599530120,95,64.57,30.58,44.06,6.08
468,dharan,99,NP,1599530120,79,26.81,87.28,79.79,2.06
469,shasta lake,90,US,1599530120,10,40.77,-122.03,107.6,5.82
470,tura,100,IN,1599530120,96,25.52,90.22,75.13,3.13
471,sergeyevka,94,KZ,1599530120,70,53.88,67.42,46.42,6.17
472,tshikapa,46,CD,1599530121,53,-6.42,20.8,77.11,2.59
473,nelson bay,0,NZ,1599530121,54,-41.28,173.28,64.0,4.0
474,postojna,0,SI,1599530121,76,45.78,14.22,55.99,6.64
475,hermosillo,31,MX,1599530121,52,29.07,-110.97,95.0,8.01
476,sangar,0,RU,1599530121,45,63.92,127.47,58.06,2.06
477,bayangol,68,RU,1599530122,69,50.7,103.47,59.81,1.45
478,deputatskiy,100,RU,1599530122,74,69.3,139.9,42.85,4.92
479,muramvya,45,BI,1599530122,79,-3.27,29.61,57.69,1.01
480,kizukuri,40,JP,1599530122,58,40.81,140.39,90.0,12.75
481,cabadiangan,23,PH,1599530122,66,9.75,122.47,86.32,2.24
482,linares,85,CL,1599530123,86,-35.85,-71.6,51.01,1.61
483,aberdeen,92,GB,1599530123,71,57.14,-2.1,57.2,5.82
484,mwene-ditu,0,CD,1599530123,57,-7.0,23.45,68.43,1.45
485,juegang,8,CN,1599530123,46,32.32,121.19,91.99,4.05
486,novobirilyussy,58,RU,1599530123,86,56.95,90.67,46.99,3.71
487,petropavlovsk-kamchatskiy,20,RU,1599530124,56,53.05,158.65,71.6,13.42
488,alofi,75,NU,1599530053,78,-19.06,-169.92,75.2,14.99
489,polunochnoye,82,RU,1599530124,96,60.87,60.42,50.11,1.92
490,masuda,20,JP,1599530124,51,34.67,131.85,84.2,10.29
491,sai buri,90,FR,1599530124,87,48.74,0.03,60.8,6.93
492,marfino,100,RU,1599530124,51,55.7,37.38,64.0,4.47
493,turukhansk,100,RU,1599530124,74,65.82,87.98,49.39,2.26
494,charlottesville,1,US,1599530110,77,38.03,-78.48,69.8,1.66
495,bradford,90,GB,1599530125,93,53.79,-1.75,61.0,6.93
496,amapa,25,BR,1599530125,81,1.0,-52.0,73.9,3.42
497,talara,75,PE,1599530125,86,-4.58,-81.27,62.47,12.41
498,urengoy,100,RU,1599530125,67,65.97,78.37,48.78,5.03
499,istisu,75,AZ,1599530125,77,40.95,48.07,66.2,3.36
500,ostrovnoy,93,RU,1599530126,85,68.05,39.51,49.03,13.71
501,kiruna,100,SE,1599530126,76,67.86,20.23,48.2,11.41
502,markova,100,UA,1599530126,90,48.68,24.41,52.21,3.06
503,pakxan,100,LA,1599530126,87,18.38,103.66,81.64,2.55
504,san lorenzo,14,ML,1599530039,82,13.3,-4.9,76.06,9.86
505,moyale,99,KE,1599530126,85,3.52,39.06,64.13,13.09
506,port-gentil,80,GA,1599530127,85,-0.72,8.78,75.54,13.69
507,pafos,0,CY,1599530127,69,34.77,32.42,73.4,5.82
508,razdolinsk,100,RU,1599530127,90,58.42,94.67,49.05,0.76
509,mandalgovi,41,MN,1599530127,46,45.76,106.27,64.08,11.48
510,lumeje,0,AO,1599530128,28,-11.55,20.78,64.49,6.46
511,sharlyk,0,RU,1599530128,75,52.92,54.75,49.89,0.69
512,axim,93,GH,1599530128,89,4.87,-2.24,75.79,8.3
513,khandyga,0,RU,1599530128,60,62.67,135.6,54.64,3.51
514,karwar,98,IN,1599530128,84,14.8,74.13,79.39,3.4
515,naryan-mar,100,RU,1599530129,91,67.67,53.09,48.0,7.09
516,taoudenni,38,ML,1599530129,18,22.68,-3.98,96.96,9.06
517,ushtobe,90,KZ,1599530129,34,45.25,77.98,57.42,1.77
518,kungurtug,100,RU,1599530130,77,50.6,97.52,50.94,2.21
519,port hedland,99,CD,1599530031,49,-7.03,29.76,72.63,4.07
520,marsh harbour,100,GB,1599530130,99,53.65,-1.81,61.0,4.0
521,egvekinot,34,RU,1599530130,64,66.32,-179.17,42.17,1.74
522,meridian,0,US,1599529834,27,43.61,-116.39,73.0,7.0
523,galle,97,LK,1599530130,83,6.04,80.22,81.28,8.86
524,kavieng,4,PG,1599530131,71,-2.57,150.8,85.64,12.12
525,mahajanga,2,MG,1599530131,77,-15.72,46.32,68.0,5.82
526,siocon,67,PH,1599530131,64,7.71,122.14,87.3,1.74
527,medea,40,DZ,1599530131,88,36.26,2.75,71.6,13.87
528,dryden,75,CA,1599530131,79,49.78,-92.75,42.8,5.82
529,tiznit,0,MA,1599530132,29,29.58,-9.5,81.7,1.88
530,champerico,100,GT,1599530132,94,14.3,-91.92,68.0,0.6
531,newton,0,US,1599530132,77,42.34,-71.21,70.0,12.75
532,ambon,96,ID,1599530132,84,-3.7,128.18,79.97,16.53
533,wonthaggi,100,AU,1599529942,83,-38.6,145.59,75.0,18.54
534,sorland,100,NO,1599530133,82,67.67,12.69,54.39,28.19
535,atbasar,0,KZ,1599530133,82,51.8,68.33,44.2,6.04
536,hanmer springs,89,GB,1599530133,88,52.95,-2.81,64.0,10.29
537,key west,40,US,1599530133,30,32.73,-101.8,86.0,12.75
538,mkokotoni,40,TZ,1599530133,88,-5.88,39.25,71.6,4.99
539,fengzhen,0,CN,1599530133,45,40.44,113.15,65.77,12.28
540,fort saint john,100,NL,1599530134,91,52.65,6.39,59.0,5.01
541,vega de alatorre,1,US,1599530134,30,35.24,-102.43,82.4,11.41
542,kununurra,61,AU,1599530134,28,-15.77,128.73,87.8,8.05
543,labuhan,18,ID,1599530134,65,-6.88,112.21,84.18,4.97
544,vanimo,1,PG,1599530134,62,-2.67,141.3,87.64,8.41
545,sao joao da barra,53,IN,1599530134,88,20.51,76.21,76.15,3.6
546,ust-tsilma,99,RU,1599530135,96,65.44,52.15,53.51,3.29
547,corrente,33,BR,1599530135,79,-3.74,-43.34,75.0,5.82
548,gizo,25,SB,1599530135,73,-8.1,156.84,83.59,7.0
549,matara,100,LK,1599530135,85,5.95,80.54,79.74,8.39
550,baker city,1,US,1599530135,74,30.59,-91.17,81.0,4.7
551,tiksi,65,RU,1599530136,62,71.69,128.87,47.84,11.79
552,roald,97,NO,1599530136,87,62.58,6.13,53.6,23.04
